Time,main-room-tstat/coolSetpoint,main-room-tstat/heatSetpoint,main-room-tstat/mode
2025-06-09 00:00:00,18.0,12.0,3
2025-06-09 01:00:00,18.0,12.0,3
2025-06-09 02:00:00,18.0,12.0,3
2025-06-09 03:00:00,30.0,26.0,3
2025-06-09 04:00:00,30.0,26.0,3
2025-06-09 05:00:00,30.0,26.0,3
2025-06-09 06:00:00,30.0,26.0,3
2025-06-09 07:00:00,19.0,11.0,3
2025-06-09 08:00:00,30.0,26.0,3
2025-06-09 09:00:00,17.0,13.0,3
2025-06-09 10:00:00,30.0,26.0,3
2025-06-09 11:00:00,30.0,26.0,3
2025-06-09 12:00:00,18.0,11.0,3
2025-06-09 13:00:00,18.0,11.0,3
2025-06-09 14:00:00,29.0,25.0,3
2025-06-09 15:00:00,19.0,11.0,3
2025-06-09 16:00:00,19.0,11.0,3
2025-06-09 17:00:00,30.0,25.0,3
2025-06-09 18:00:00,19.0,11.0,3
2025-06-09 19:00:00,19.0,11.0,3
2025-06-09 20:00:00,19.0,11.0,3
2025-06-09 21:00:00,30.0,24.0,3
2025-06-09 22:00:00,30.0,24.0,3
2025-06-09 23:00:00,30.0,24.0,3
2025-06-10 00:00:00,30.0,24.0,3
2025-06-10 01:00:00,17.0,13.0,3
2025-06-10 02:00:00,29.0,24.0,3
2025-06-10 03:00:00,17.0,11.0,3
2025-06-10 04:00:00,30.0,26.0,3
2025-06-10 05:00:00,30.0,26.0,3
2025-06-10 06:00:00,17.0,11.0,3
2025-06-10 07:00:00,30.0,26.0,3
2025-06-10 08:00:00,18.0,12.0,3
2025-06-10 09:00:00,18.0,12.0,3
2025-06-10 10:00:00,18.0,12.0,3
2025-06-10 11:00:00,30.0,26.0,3
2025-06-10 12:00:00,30.0,26.0,3
2025-06-10 13:00:00,30.0,26.0,3
2025-06-10 14:00:00,30.0,26.0,3
2025-06-10 15:00:00,17.0,13.0,3
2025-06-10 16:00:00,30.0,26.0,3
2025-06-10 17:00:00,17.0,12.0,3
2025-06-10 18:00:00,30.0,25.0,3
2025-06-10 19:00:00,30.0,25.0,3
2025-06-10 20:00:00,18.0,13.0,3
2025-06-10 21:00:00,30.0,26.0,3
2025-06-10 22:00:00,17.0,12.0,3
2025-06-10 23:00:00,31.0,26.0,3
