Time,main-room-tstat/coolSetpoint,main-room-tstat/heatSetpoint,main-room-tstat/mode
2025-06-12 00:00:00,30.0,25.0,3
2025-06-12 01:00:00,30.0,25.0,3
2025-06-12 02:00:00,30.0,25.0,3
2025-06-12 03:00:00,18.0,12.0,3
2025-06-12 04:00:00,30.0,26.0,3
2025-06-12 05:00:00,17.0,13.0,3
2025-06-12 06:00:00,29.0,25.0,3
2025-06-12 07:00:00,29.0,25.0,3
2025-06-12 08:00:00,18.0,11.0,3
2025-06-12 09:00:00,18.0,11.0,3
2025-06-12 10:00:00,30.0,24.0,3
2025-06-12 11:00:00,18.0,11.0,3
2025-06-12 12:00:00,18.0,11.0,3
2025-06-12 13:00:00,18.0,11.0,3
2025-06-12 14:00:00,30.0,26.0,3
2025-06-12 15:00:00,17.0,11.0,3
2025-06-12 16:00:00,30.0,24.0,3
2025-06-12 17:00:00,18.0,11.0,3
2025-06-12 18:00:00,18.0,11.0,3
2025-06-12 19:00:00,18.0,11.0,3
2025-06-12 20:00:00,30.0,26.0,3
2025-06-12 21:00:00,30.0,26.0,3
2025-06-12 22:00:00,30.0,26.0,3
2025-06-12 23:00:00,30.0,26.0,3
2025-06-13 00:00:00,18.0,13.0,3
2025-06-13 01:00:00,30.0,26.0,3
2025-06-13 02:00:00,19.0,11.0,3
2025-06-13 03:00:00,29.0,25.0,3
2025-06-13 04:00:00,29.0,25.0,3
2025-06-13 05:00:00,18.0,12.0,3
2025-06-13 06:00:00,18.0,12.0,3
2025-06-13 07:00:00,18.0,12.0,3
2025-06-13 08:00:00,30.0,25.0,3
2025-06-13 09:00:00,18.0,11.0,3
2025-06-13 10:00:00,18.0,11.0,3
2025-06-13 11:00:00,18.0,11.0,3
2025-06-13 12:00:00,30.0,26.0,3
2025-06-13 13:00:00,30.0,26.0,3
2025-06-13 14:00:00,30.0,26.0,3
2025-06-13 15:00:00,30.0,26.0,3
2025-06-13 16:00:00,18.0,11.0,3
2025-06-13 17:00:00,31.0,25.0,3
2025-06-13 18:00:00,17.0,12.0,3
2025-06-13 19:00:00,30.0,26.0,3
2025-06-13 20:00:00,30.0,26.0,3
2025-06-13 21:00:00,30.0,26.0,3
2025-06-13 22:00:00,19.0,11.0,3
2025-06-13 23:00:00,30.0,26.0,3
2025-06-14 00:00:00,19.0,12.0,3
2025-06-14 01:00:00,30.0,25.0,3
2025-06-14 02:00:00,30.0,25.0,3
2025-06-14 03:00:00,17.0,11.0,3
2025-06-14 04:00:00,17.0,11.0,3
2025-06-14 05:00:00,29.0,25.0,3
2025-06-14 06:00:00,19.0,12.0,3
2025-06-14 07:00:00,19.0,12.0,3
2025-06-14 08:00:00,19.0,12.0,3
2025-06-14 09:00:00,30.0,26.0,3
2025-06-14 10:00:00,30.0,26.0,3
2025-06-14 11:00:00,30.0,26.0,3
2025-06-14 12:00:00,30.0,26.0,3
2025-06-14 13:00:00,17.0,12.0,3
2025-06-14 14:00:00,17.0,12.0,3
2025-06-14 15:00:00,30.0,26.0,3
2025-06-14 16:00:00,17.0,12.0,3
2025-06-14 17:00:00,17.0,12.0,3
2025-06-14 18:00:00,17.0,12.0,3
2025-06-14 19:00:00,29.0,25.0,3
2025-06-14 20:00:00,29.0,25.0,3
2025-06-14 21:00:00,29.0,25.0,3
2025-06-14 22:00:00,29.0,25.0,3
2025-06-14 23:00:00,17.0,11.0,3
2025-06-19 00:00:00,30.0,25.0,3
2025-06-19 01:00:00,17.0,12.0,3
2025-06-19 02:00:00,31.0,24.0,3
2025-06-19 03:00:00,17.0,13.0,3
2025-06-19 04:00:00,29.0,25.0,3
2025-06-19 05:00:00,29.0,25.0,3
2025-06-19 06:00:00,29.0,25.0,3
2025-06-19 07:00:00,17.0,12.0,3
2025-06-19 08:00:00,30.0,26.0,3
2025-06-19 09:00:00,17.0,11.0,3
2025-06-19 10:00:00,30.0,24.0,3
2025-06-19 11:00:00,30.0,24.0,3
2025-06-19 12:00:00,19.0,13.0,3
2025-06-19 13:00:00,29.0,25.0,3
2025-06-19 14:00:00,29.0,25.0,3
2025-06-19 15:00:00,17.0,11.0,3
2025-06-19 16:00:00,31.0,24.0,3
2025-06-19 17:00:00,31.0,24.0,3
2025-06-19 18:00:00,31.0,24.0,3
2025-06-19 19:00:00,31.0,24.0,3
2025-06-19 20:00:00,19.0,12.0,3
2025-06-19 21:00:00,31.0,26.0,3
2025-06-19 22:00:00,17.0,12.0,3
2025-06-19 23:00:00,30.0,25.0,3
2025-06-20 00:00:00,30.0,25.0,3
2025-06-20 01:00:00,19.0,11.0,3
2025-06-20 02:00:00,29.0,25.0,3
2025-06-20 03:00:00,29.0,25.0,3
2025-06-20 04:00:00,17.0,12.0,3
2025-06-20 05:00:00,30.0,25.0,3
2025-06-20 06:00:00,17.0,13.0,3
2025-06-20 07:00:00,31.0,25.0,3
2025-06-20 08:00:00,31.0,25.0,3
2025-06-20 09:00:00,31.0,25.0,3
2025-06-20 10:00:00,31.0,25.0,3
2025-06-20 11:00:00,18.0,12.0,3
2025-06-20 12:00:00,30.0,24.0,3
2025-06-20 13:00:00,30.0,24.0,3
2025-06-20 14:00:00,17.0,11.0,3
2025-06-20 15:00:00,29.0,24.0,3
2025-06-20 16:00:00,29.0,24.0,3
2025-06-20 17:00:00,19.0,13.0,3
2025-06-20 18:00:00,19.0,13.0,3
2025-06-20 19:00:00,29.0,24.0,3
2025-06-20 20:00:00,29.0,24.0,3
2025-06-20 21:00:00,29.0,24.0,3
2025-06-20 22:00:00,17.0,11.0,3
2025-06-20 23:00:00,30.0,26.0,3
2025-06-21 00:00:00,30.0,26.0,3
2025-06-21 01:00:00,30.0,26.0,3
2025-06-21 02:00:00,19.0,11.0,3
2025-06-21 03:00:00,31.0,24.0,3
2025-06-21 04:00:00,31.0,24.0,3
2025-06-21 05:00:00,17.0,11.0,3
2025-06-21 06:00:00,29.0,25.0,3
2025-06-21 07:00:00,18.0,12.0,3
2025-06-21 08:00:00,31.0,25.0,3
2025-06-21 09:00:00,31.0,25.0,3
2025-06-21 10:00:00,19.0,13.0,3
2025-06-21 11:00:00,30.0,26.0,3
2025-06-21 12:00:00,30.0,26.0,3
2025-06-21 13:00:00,19.0,13.0,3
2025-06-21 14:00:00,31.0,24.0,3
2025-06-21 15:00:00,31.0,24.0,3
2025-06-21 16:00:00,19.0,13.0,3
2025-06-21 17:00:00,30.0,26.0,3
2025-06-21 18:00:00,30.0,26.0,3
2025-06-21 19:00:00,30.0,26.0,3
2025-06-21 20:00:00,17.0,11.0,3
2025-06-21 21:00:00,17.0,11.0,3
2025-06-21 22:00:00,30.0,26.0,3
2025-06-21 23:00:00,30.0,26.0,3

