Reference Point Name,Volttron Point Name,Units,Unit Details,BACnet Object Type,Property,Writable,Index,Write Priority,Notes
Indoor Temperature,Indoor Temperature,degreesFahrenheit,-54.00 to 124.00,analogInput,presentValue,FALSE,1,,Resolution: 0.01
Indoor Humidity,Indoor Humidity,percentRelativeHumidity,0.00 to 100.00,analogInput,presentValue,FALSE,2,,Resolution: 1
System Mode,System Mode,State,State count: 5,multiStateValue,presentValue,FALSE,1,,"1=COOL, 2=HEAT, 3=AUTO, 4=EMER"
Fan Mode,Fan Mode,State,State count: 6,multiStateValue,presentValue,FALSE,2,,"1=ON, 2=FAN 1, 3=FAN 2, 4=FAN 3, 5=RECIRC"
Manual Occupied Cool Setpoint,Manual Occupied Cool Setpoint,degreesFahrenheit,60.00 to 108.00,analogValue,presentValue,FALSE,1,,
Manual Occupied Heat Setpoint,Manual Occupied Heat Setpoint,degreesFahrenheit,38.00 to 88.00,analogValue,presentValue,FALSE,2,,
Manual Unoccupied Cool Setpoint,Manual Unoccupied Cool Setpoint,degreesFahrenheit,60.00 to 108.00,analogValue,presentValue,FALSE,3,,
Manual Unoccupied Heat Setpoint,Manual Unoccupied Heat Setpoint,degreesFahrenheit,38.00 to 88.00,analogValue,presentValue,FALSE,4,,
Occupancy Toggle,Occupancy Toggle,Enum,0-1 (default 1),binaryValue,presentValue,FALSE,1,,
Manual Operation,Manual Operation,Enum,0-1,binaryValue,presentValue,FALSE,2,,
Cool/Heat State,Cool/Heat State,Enum,0-1,binaryInput,presentValue,FALSE,1,,
Stages Active,Stages Active,noUnits,,positiveIntegerValue,presentValue,FALSE,1,,
Override System Mode,Override System Mode,State,State count: 5,multiStateValue,presentValue,FALSE,3,,"1=COOL, 2=HEAT, 3=AUTO, 4=EMER"
Override Fan Mode,Override Fan Mode,State,State count: 6,multiStateValue,presentValue,FALSE,4,,"1=ON, 2=FAN 1, 3=FAN 2, 4=FAN 3, 5=RECIRC"
Override Cool Setpoint,Override Cool Setpoint,degreesFahrenheit,60.00 to 108.00,analogValue,presentValue,FALSE,5,,
Override Heat Setpoint,Override Heat Setpoint,degreesFahrenheit,38.00 to 88.00,analogValue,presentValue,FALSE,6,,
Override Status,Override Status,Enum,0-1,binaryInput,presentValue,FALSE,2,,
Override Time Remaining,Override Time Remaining,minutes,,positiveIntegerValue,presentValue,FALSE,2,,
BACnet Temperature Units,BACnet Temperature Units,Enum,0-1,binaryValue,presentValue,FALSE,3,,
Display Temperature Units,Display Temperature Units,Enum,0-1,binaryValue,presentValue,FALSE,4,,
HVAC Type Setting,HVAC Type Setting,Enum,0-1,binaryValue,presentValue,FALSE,5,,
HVAC Cooling Stages Setting,HVAC Cooling Stages Setting,noUnits,,positiveIntegerValue,presentValue,FALSE,3,,
HVAC Heating Stages Setting,HVAC Heating Stages Setting,noUnits,,positiveIntegerValue,presentValue,FALSE,4,,
HVAC Heat Type Setting,HVAC Heat Type Setting,Enum,0-1,binaryValue,presentValue,FALSE,6,,
HVAC Min On Time Setting,HVAC Min On Time Setting,minutes,,positiveIntegerValue,presentValue,FALSE,5,,
HVAC Min Off Time Setting,HVAC Min Off Time Setting,minutes,,positiveIntegerValue,presentValue,FALSE,6,,
HVAC Emer Heat Enabled Setting,HVAC Emer Heat Enabled Setting,Enum,0-1,binaryValue,presentValue,FALSE,7,,
HVAC Heat Pump Dual Fuel Setting,HVAC Heat Pump Dual Fuel Setting,Enum,0-1,binaryValue,presentValue,FALSE,8,,
HVAC Adaptive Recovery Setting,HVAC Adaptive Recovery Setting,Enum,0-1,binaryValue,presentValue,FALSE,9,,
HVAC Remote Indoor Sensor Averaging Setting,HVAC Remote Indoor Sensor Averaging Setting,Enum,0-1,binaryValue,presentValue,FALSE,10,,
HVAC Fan Purge Time Setting,HVAC Fan Purge Time Setting,seconds,,positiveIntegerValue,presentValue,FALSE,7,,
HVAC Lock Screen Setting,HVAC Lock Screen Setting,Enum,0-1,binaryValue,presentValue,FALSE,11,,
HVAC Lock Screen Code Setting,HVAC Lock Screen Code Setting,noUnits,,positiveIntegerValue,presentValue,FALSE,8,,
HVAC Stage 1 Differential Setting,HVAC Stage 1 Differential Setting,degreesFahrenheit,1.00 to 6.00,analogValue,presentValue,FALSE,7,,
HVAC Stage 2 Differential Setting,HVAC Stage 2 Differential Setting,degreesFahrenheit,1.00 to 6.00,analogValue,presentValue,FALSE,8,,
HVAC Stage 2 Delay Setting,HVAC Stage 2 Delay Setting,minutes,,positiveIntegerValue,presentValue,FALSE,9,,
HVAC Aux Heat Delay Setting,HVAC Aux Heat Delay Setting,minutes,,positiveIntegerValue,presentValue,FALSE,10,,
HVAC Temperature Override Range Setting,HVAC Temperature Override Range Setting,degreesFahrenheit,2.00 to 8.00,analogValue,presentValue,FALSE,9,,
HVAC Override Time Setting,HVAC Override Time Setting,minutes,,positiveIntegerValue,presentValue,FALSE,11,,
HVAC Temperature Calibration Offset Setting,HVAC Temperature Calibration Offset Setting,degreesFahrenheit,-6.00 to 6.00,analogValue,presentValue,FALSE,10,,
HVAC Balance Point High Setting,HVAC Balance Point High Setting,degreesFahrenheit,41.00 to 120.00,analogValue,presentValue,FALSE,11,,
HVAC Balance Point Low Setting,HVAC Balance Point Low Setting,degreesFahrenheit,-55.00 to 40.00,analogValue,presentValue,FALSE,12,,
HVAC Cool Setpoint High Limit Setting,HVAC Cool Setpoint High Limit Setting,degreesFahrenheit,60.00 to 108.00,analogValue,presentValue,FALSE,13,,
HVAC Cool Setpoint Low Limit Setting,HVAC Cool Setpoint Low Limit Setting,degreesFahrenheit,60.00 to 108.00,analogValue,presentValue,FALSE,14,,
HVAC Heat Setpoint High Limit Setting,HVAC Heat Setpoint High Limit Setting,degreesFahrenheit,38.00 to 88.00,analogValue,presentValue,FALSE,15,,
HVAC Heat Setpoint Low Limit Setting,HVAC Heat Setpoint Low Limit Setting,degreesFahrenheit,38.00 to 88.00,analogValue,presentValue,FALSE,16,,
